timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
0,0,2416.04,0.01,0.72,0.01,42.25,HBEFA3/PC_G_EU4,0,1.04,veh0,5330181#0_0,65.15,5.1,!veh0!var#1,14.72,veh_passenger,0,18279.94,24533.12
1,0,0,0,0,0,42.25,HBEFA3/PC_G_EU4,0,0,veh0,5330181#0_0,62.72,18.85,!veh0!var#1,13.75,veh_passenger,0,18289.19,24543.3
1,164.78,2624.72,0.81,1.2,0.07,357,HBEFA3/PC_G_EU4,0,1.13,veh1,-5338968#2_0,55.94,5.1,!veh1!var#1,0,veh_passenger,0,29252.01,24424.16
1,164.78,2624.72,0.81,1.2,0.07,271.07,HBEFA3/PC_G_EU4,0,1.13,veh2,5337487#3_0,55.94,5.1,!veh2!var#1,0,veh_passenger,0,23726.22,25284.67
2,0,0,0,0,0,42.25,HBEFA3/PC_G_EU4,0,0,veh0,5330181#0_0,61.3,31.36,!veh0!var#1,12.51,veh_passenger,0,18297.59,24552.56
2,149.59,3770.59,0.77,1.68,0.08,356.91,HBEFA3/PC_G_EU4,0,1.62,veh1,-5338968#2_0,67.05,7.42,!veh1!var#1,2.32,veh_passenger,0,29251.89,24426.48
2,148.12,2942.26,0.74,1.32,0.07,271.09,HBEFA3/PC_G_EU4,0,1.26,veh2,5337487#3_0,62.42,6.46,!veh2!var#1,1.36,veh_passenger,0,23724.87,25284.69
2,164.78,2624.72,0.81,1.2,0.07,125.41,HBEFA3/PC_G_EU4,0,1.13,veh3,724636540#2_0,55.94,5.1,!veh3!var#1,0,veh_passenger,0,26221.37,26484.93
2,164.78,2624.72,0.81,1.2,0.07,359.85,HBEFA3/PC_G_EU4,0,1.13,veh4,-737358444#2_0,55.94,4.39,!veh4!var#1,0,veh_passenger,0,27949.69,24299.88
3,0,0,0,0,0,40.62,HBEFA3/PC_G_EU4,0,0,veh0,5330181#0_0,55.09,39.88,!veh0!var#1,8.52,veh_passenger,0,18303.19,24558.98
3,143.93,5255.34,0.78,2.32,0.11,356.91,HBEFA3/PC_G_EU4,0,2.26,veh1,-5338968#2_0,68.69,12.21,!veh1!var#1,4.78,veh_passenger,0,29251.63,24431.26
3,134.43,3441.38,0.69,1.51,0.07,271.1,HBEFA3/PC_G_EU4,0,1.48,veh2,5337487#3_0,63.69,9.32,!veh2!var#1,2.86,veh_passenger,0,23722,25284.75
3,148.29,2920.66,0.74,1.31,0.07,125.41,HBEFA3/PC_G_EU4,0,1.26,veh3,724636540#2_0,62.25,6.42,!veh3!var#1,1.32,veh_passenger,0,26222.44,26484.16
3,148.04,2955.05,0.74,1.32,0.07,359.71,HBEFA3/PC_G_EU4,0,1.27,veh4,-737358444#1_0,62.52,1.28,!veh4!var#1,1.38,veh_passenger,0,27949.68,24301.16
4,0,0,0,0,0,34.08,HBEFA3/PC_G_EU4,0,0,veh0,:37981946_10_0,48.52,3.9,!veh0!var#1,4.77,veh_passenger,0,18305.84,24562.94
4,117.19,5042.82,0.65,2.17,0.1,359.03,HBEFA3/PC_G_EU4,0,2.17,veh1,-5338968#2_0,66.27,18.72,!veh1!var#1,6.51,veh_passenger,0,29251.46,24437.77
4,121.5,3852.58,0.64,1.67,0.08,271.1,HBEFA3/PC_G_EU4,0,1.66,veh2,5337487#3_0,64.11,13.64,!veh2!var#1,4.32,veh_passenger,0,23717.68,25284.83
4,146.76,4732.49,0.78,2.09,0.1,102.31,HBEFA3/PC_G_EU4,0,2.03,veh3,724636540#2_0,68.44,10.24,!veh3!var#1,3.82,veh_passenger,0,26225.93,26483.87
4,138.69,4011.99,0.73,1.77,0.09,359.62,HBEFA3/PC_G_EU4,0,1.72,veh4,-737358444#1_0,65.98,4.63,!veh4!var#1,3.36,veh_passenger,0,27949.66,24304.51
5,126.95,5681.26,0.71,2.46,0.11,352.59,HBEFA3/PC_G_EU4,0,2.44,veh0,:37981946_18_0,67.66,4.76,!veh0!var#1,6.79,veh_passenger,0,18305.54,24569.55
5,115.66,5968.58,0.67,2.56,0.12,359.62,HBEFA3/PC_G_EU4,0,2.57,veh1,-5338968#2_0,67.42,27.02,!veh1!var#1,8.3,veh_passenger,0,29251.41,24446.07
5,146.4,6672.76,0.83,2.93,0.14,271.1,HBEFA3/PC_G_EU4,0,2.87,veh2,5337487#3_0,69.98,20.51,!veh2!var#1,6.87,veh_passenger,0,23710.81,25284.96
5,122.77,4761.75,0.67,2.06,0.1,76.81,HBEFA3/PC_G_EU4,0,2.05,veh3,724636540#2_0,66.13,15.85,!veh3!var#1,5.61,veh_passenger,0,26231.39,26485.15
5,135.4,5347.07,0.74,2.34,0.11,359.61,HBEFA3/PC_G_EU4,0,2.3,veh4,-737358444#1_0,67.91,10.2,!veh4!var#1,5.57,veh_passenger,0,27949.62,24310.08
6,111.13,5843.88,0.64,2.5,0.11,317.63,HBEFA3/PC_G_EU4,0,2.51,veh0,744926153#3_0,67.11,4.53,!veh0!var#1,8.49,veh_passenger,0,18300.15,24576.09
6,109.77,6504.63,0.65,2.77,0.13,359.62,HBEFA3/PC_G_EU4,0,2.8,veh1,-5338968#2_0,67.82,37.01,!veh1!var#1,9.99,veh_passenger,0,29251.34,24456.06
6,127.88,6880.4,0.75,2.97,0.14,271.1,HBEFA3/PC_G_EU4,0,2.96,veh2,5337487#3_0,68.83,29.44,!veh2!var#1,8.93,veh_passenger,0,23701.89,25285.13
6,150.73,7616.25,0.87,3.34,0.16,65.32,HBEFA3/PC_G_EU4,0,3.27,veh3,724636540#2_0,70.74,24.04,!veh3!var#1,8.2,veh_passenger,0,26238.69,26487.81
6,101.3,4497.38,0.57,1.9,0.08,359.61,HBEFA3/PC_G_EU4,0,1.93,veh4,-737358444#1_0,64.8,17.1,!veh4!var#1,6.9,veh_passenger,0,27949.57,24316.98
7,126.41,7523.47,0.76,3.24,0.15,325.43,HBEFA3/PC_G_EU4,0,3.23,veh0,744926153#3_0,69.25,14.99,!veh0!var#1,10.47,veh_passenger,0,18293.73,24584.32
7,151.63,9460.68,0.92,4.11,0.2,359.62,HBEFA3/PC_G_EU4,0,4.07,veh1,-5338968#2_0,71.33,49.27,!veh1!var#1,12.26,veh_passenger,0,29251.26,24468.32
7,155.57,9305.08,0.93,4.06,0.2,271.1,HBEFA3/PC_G_EU4,0,4,veh2,5337487#3_0,71.49,40.78,!veh2!var#1,11.34,veh_passenger,0,23690.55,25285.35
7,132.18,7725.42,0.79,3.34,0.16,21.15,HBEFA3/PC_G_EU4,0,3.32,veh3,724636540#2_0,69.62,34.33,!veh3!var#1,10.29,veh_passenger,0,26242.4,26497.4
7,116.11,6197.47,0.68,2.66,0.12,359.61,HBEFA3/PC_G_EU4,0,2.66,veh4,-737358444#1_0,67.68,25.8,!veh4!var#1,8.71,veh_passenger,0,27949.52,24325.68
8,89.45,6268.57,0.56,2.61,0.12,332.73,HBEFA3/PC_G_EU4,0,2.69,veh0,744926153#3_0,67.38,26.79,!veh0!var#1,11.79,veh_passenger,0,18287.86,24594.52
8,0,0,0,0,0,359.62,HBEFA3/PC_G_EU4,0,0,veh1,-5338968#2_0,55.05,57.74,!veh1!var#1,8.47,veh_passenger,0,29251.21,24476.79
8,178.99,11307.68,1.09,4.94,0.25,271.1,HBEFA3/PC_G_EU4,0,4.86,veh2,5337487#3_0,73.01,54.61,!veh2!var#1,13.83,veh_passenger,0,23676.72,25285.61
8,0,0,0,0,0,322.07,HBEFA3/PC_G_EU4,0,0,veh3,724636540#2_0,58.14,43.43,!veh3!var#1,9.1,veh_passenger,0,26240.42,26505.11
8,96.44,5927.68,0.58,2.49,0.11,0.31,HBEFA3/PC_G_EU4,0,2.55,veh4,-737358444#1_0,66.92,35.95,!veh4!var#1,10.15,veh_passenger,0,27949.56,24335.83
9,148.13,9818.41,0.91,4.23,0.21,339.62,HBEFA3/PC_G_EU4,0,4.22,veh0,744926153#3_0,71.33,40.65,!veh0!var#1,13.86,veh_passenger,0,18282.14,24607.12
9,0,0,0,0,0,359.62,HBEFA3/PC_G_EU4,0,0,veh1,-5338968#2_0,50.01,62.99,!veh1!var#1,5.26,veh_passenger,0,29251.17,24482.04
9,32.26,4330.46,0.25,1.63,0.06,271.1,HBEFA3/PC_G_EU4,0,1.86,veh2,5337487#3_0,66.22,68.97,!veh2!var#1,14.35,veh_passenger,0,23662.36,25285.89
9,0,0,0,0,0,322.07,HBEFA3/PC_G_EU4,0,0,veh3,724636540#2_0,50.39,49.04,!veh3!var#1,5.6,veh_passenger,0,26236.98,26509.53
9,145.1,9162.99,0.88,3.96,0.19,0.31,HBEFA3/PC_G_EU4,0,3.94,veh4,-737358444#1_0,70.93,48.26,!veh4!var#1,12.31,veh_passenger,0,27949.63,24348.14
10,0,2361.99,0.03,0.72,0.01,344.78,HBEFA3/PC_G_EU4,0,1.02,veh0,744926153#3_0,64.57,54.52,!veh0!var#1,13.87,veh_passenger,0,18278.16,24620.4
10,99.17,4136.25,0.55,1.74,0.08,347.5,HBEFA3/PC_G_EU4,0,1.78,veh1,:38093081_4_0,64.04,4.83,!veh1!var#1,6.46,veh_passenger,0,29250.09,24488.32
10,0,0,0,0,0,271.1,HBEFA3/PC_G_EU4,0,0,veh2,5337487#3_0,63.86,82.95,!veh2!var#1,13.98,veh_passenger,0,23648.38,25286.15
10,0,0,0,0,0,295.02,HBEFA3/PC_G_EU4,0,0,veh3,724636540#3_0,58.54,0.86,!veh3!var#1,5.56,veh_passenger,0,26232.28,26512.01
10,186.23,11922.03,1.14,5.2,0.26,0.31,HBEFA3/PC_G_EU4,0,5.12,veh4,-737358444#1_0,73.37,63.04,!veh4!var#1,14.78,veh_passenger,0,27949.71,24362.92
11,1.99,2755.01,0.07,0.9,0.02,352.18,HBEFA3/PC_G_EU4,0,1.18,veh0,744926153#3_0,64.9,68.51,!veh0!var#1,13.98,veh_passenger,0,18275.98,24634.2
11,77.79,3543.63,0.44,1.44,0.06,293.9,HBEFA3/PC_G_EU4,0,1.52,veh1,:38093081_4_0,62.68,12.06,!veh1!var#1,7.23,veh_passenger,0,29244.45,24492.22
11,30.77,4294.63,0.24,1.61,0.06,271.1,HBEFA3/PC_G_EU4,0,1.85,veh2,5337487#3_0,66.25,97.44,!veh2!var#1,14.49,veh_passenger,0,23633.9,25286.43
11,134.75,6625.16,0.77,2.88,0.14,274.62,HBEFA3/PC_G_EU4,0,2.85,veh3,724636540#3_0,69.03,8.65,!veh3!var#1,7.79,veh_passenger,0,26224.51,26512.64
11,119,9000.72,0.76,3.79,0.18,0.12,HBEFA3/PC_G_EU4,0,3.87,veh4,:38037415_9_0,70.48,6.1,!veh4!var#1,16.29,veh_passenger,0,27949.77,24379.21
12,30.36,4272.97,0.24,1.6,0.06,358.9,HBEFA3/PC_G_EU4,0,1.84,veh0,744926153#3_0,66.23,82.99,!veh0!var#1,14.48,veh_passenger,0,18275.69,24648.67
12,0,0,0,0,0,271.48,HBEFA3/PC_G_EU4,0,0,veh1,-5340539#5_0,59.29,5.09,!veh1!var#1,7.11,veh_passenger,0,29237.38,24492.69
12,0,0,0,0,0,271.1,HBEFA3/PC_G_EU4,0,0,veh2,5337487#3_0,63.21,111.26,!veh2!var#1,13.82,veh_passenger,0,23620.08,25286.7
12,153.62,8761.14,0.91,3.83,0.19,229.61,HBEFA3/PC_G_EU4,0,3.77,veh3,724636540#3_0,71.25,18.93,!veh3!var#1,10.27,veh_passenger,0,26216.06,26507.92
12,239.42,15216.78,1.46,6.66,0.35,359.92,HBEFA3/PC_G_EU4,0,6.54,veh4,-737358444#0_0,75.5,10.46,!veh4!var#1,18.79,veh_passenger,0,27949.78,24398
13,0,0,0,0,0,0.12,HBEFA3/PC_G_EU4,0,0,veh0,744926153#3_0,62.48,96.48,!veh0!var#1,13.49,veh_passenger,0,18275.69,24662.17
13,152.91,8433.17,0.9,3.69,0.18,269.57,HBEFA3/PC_G_EU4,0,3.63,veh1,-5340539#5_0,71.12,14.72,!veh1!var#1,9.63,veh_passenger,0,29227.75,24492.76
13,0,0,0,0,0,271.1,HBEFA3/PC_G_EU4,0,0,veh2,5337487#3_0,56.14,120.58,!veh2!var#1,9.32,veh_passenger,0,23610.76,25286.87
13,0,0,0,0,0,182.56,HBEFA3/PC_G_EU4,0,0,veh3,724636540#3_0,61.43,29.05,!veh3!var#1,10.12,veh_passenger,0,26211.95,26499.87
13,138.16,10391.94,0.88,4.35,0.22,359.92,HBEFA3/PC_G_EU4,0,4.47,veh4,-737358444#0_0,72.08,30.62,!veh4!var#1,20.16,veh_passenger,0,27949.75,24418.16
14,9.66,3041.97,0.11,1.04,0.03,0.27,HBEFA3/PC_G_EU4,0,1.31,veh0,744926153#3_0,64.93,110.18,!veh0!var#1,13.7,veh_passenger,0,18275.76,24675.86
14,132.94,8326.6,0.81,3.59,0.17,269.57,HBEFA3/PC_G_EU4,0,3.58,veh1,-5340539#5_0,70.03,26.37,!veh1!var#1,11.65,veh_passenger,0,29216.1,24492.67
